Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	
2013-09-27 09:33:17 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-27 17:04:37 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-27 17:05:59 Etc/GMT	No	No	Yes	No	No	
2013-09-27 17:08:18 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-27 17:09:02 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-27 17:25:52 Etc/GMT	No	No	Yes	No	No	
2013-09-27 18:11:09 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-27 18:18:15 Etc/GMT	No	No	Yes	No	No	
2013-09-27 18:29:56 Etc/GMT	No	No	No	No	Yes	
2013-09-27 18:30:51 Etc/GMT	No	Yes	Yes	No	No	
2013-09-27 18:32:11 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-27 18:46:13 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-27 18:59:07 Etc/GMT	No	No	Yes	No	No	
2013-09-27 20:58:51 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-27 22:24:29 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-28 23:22:38 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-09-29 22:00:23 Etc/GMT	Yes	Yes	Yes	Yes	Yes	
2013-10-01 05:03:44 Etc/GMT	No	Yes	Yes	Yes	Yes	
